neighbourhood_id,borough,zipcode,name,description,photo_path,landmarks
1,Brooklyn,11222,Greenpoint,A vibrant neighborhood known for its eclectic art scene and waterfront parks.,React-Frontend\public\img\Neighbourhoods\Greenpoint,"{McCarren Park,Greenpoint Historic District}"
7,Brooklyn,11205,Fort Greene,"Known for its diverse culture and vibrant arts scene, Fort Greene is a lively neighborhood with a rich history.",React-Frontend\public\img\Neighbourhoods\Fort Greene,"{Fort Greene Park,BAM Harvey Theater}"
5,Brooklyn,11201,Brooklyn Heights,"A prestigious neighborhood known for its beautiful brownstones, stunning skyline views, and historic promenade.",React-Frontend\public\img\Neighbourhoods\Brooklyn Heights,"{Brooklyn Heights Promenade,Brooklyn Historical Society}"
2,Brooklyn,11211,Williamsburg,"A trendy hub with a thriving nightlife, music scene, and artist community.",React-Frontend\public\img\Neighbourhoods\Williamsburg,"{Brooklyn Brewery,Music Hall of Williamsburg}"
8,Brooklyn,11205,Clinton Hill,An upscale residential area that blends old mansions with modern boutiques and cafes.,React-Frontend\public\img\Neighbourhoods\Clinton Hill,"{Pratt Institute,Clinton Avenue Historic District}"
3,Brooklyn,11211,South Williamsburg,"Known for its strong cultural heritage, this area features a mix of old-world charm and modern amenities.",React-Frontend\public\img\Neighbourhoods\South Williamsburg,"{Domino Park,Peter Luger Steakhouse}"
10,Brooklyn,11216,Bedford-Stuyvesant (West),A neighborhood with a strong sense of community and rich African-American heritage.,React-Frontend\public\img\Neighbourhoods\Bedford-Stuyvesant (West),"{Stuyvesant Heights Historic District,Herbert Von King Park}"
6,Brooklyn,11201,Downtown Brooklyn-DUMBO-Boerum Hill,"This combined area features a blend of business districts, upscale living, and artistic corners.",React-Frontend\public\img\Neighbourhoods\Downtown Brooklyn-DUMBO-Boerum Hill,"{Brooklyn Bridge Park,Fulton Mall}"
4,Brooklyn,11211,East Williamsburg,"An industrial area turned into a creative enclave, East Williamsburg is home to many artists and innovative businesses.",React-Frontend\public\img\Neighbourhoods\East Williamsburg,"{East Williamsburg Industrial Park,Graffitti Warehouse}"
9,Brooklyn,11205,Brooklyn Navy Yard,"Once a bustling shipyard, now a national model for sustainable urban industrial parks.",React-Frontend\public\img\Neighbourhoods\Brooklyn Navy Yard,"{Brooklyn Navy Yard Center at BLDG 92,Dry Dock 1}"
11,Brooklyn,11216,Bedford-Stuyvesant (East),A neighborhood known for its historic brownstones and vibrant cultural life.,React-Frontend\\public\\img\\Neighbourhoods\\Bedford-Stuyvesant (East),"{Marcy Playground,Sumpter Community Garden}"
12,Brooklyn,11237,Bushwick (West),"A hip neighborhood famous for its street art, galleries, and nightlife.",React-Frontend\\public\\img\\Neighbourhoods\\Bushwick (West),"{Bushwick Collective,Maria Hernandez Park}"
13,Brooklyn,11207,Bushwick (East),An area known for its diverse community and growing arts scene.,React-Frontend\\public\\img\\Neighbourhoods\\Bushwick (East),"{Irving Square Park,Evergreen Cemetery}"
14,Brooklyn,11207,The Evergreens Cemetery,"A large, historic cemetery known for its beautiful grounds and notable burials.",React-Frontend\\public\\img\\Neighbourhoods\\The Evergreens Cemetery,{Evergreens Cemetery}
15,Brooklyn,11208,Cypress Hills,A diverse neighborhood with a strong community spirit and numerous parks.,React-Frontend\\public\\img\\Neighbourhoods\\Cypress Hills,"{Highland Park,Cypress Hills Cemetery}"
16,Brooklyn,11207,East New York (North),A residential neighborhood with a rich history and active community.,React-Frontend\\public\\img\\Neighbourhoods\\East New York (North),"{New Lots Reformed Church,Highland Park}"
17,Brooklyn,11208,East New York-New Lots,Known for its historic significance and diverse population.,React-Frontend\\public\\img\\Neighbourhoods\\East New York-New Lots,"{New Lots Reformed Church,Gateway Center}"
18,Brooklyn,11239,Spring Creek-Starrett City,A planned community known for its large residential complexes and green spaces.,React-Frontend\\public\\img\\Neighbourhoods\\Spring Creek-Starrett City,"{Spring Creek Park,Starrett City}"
19,Brooklyn,11208,East New York-City Line,A neighborhood with a strong local community and various amenities.,React-Frontend\\public\\img\\Neighbourhoods\\East New York-City Line,"{City Line Park,Glenmore Playground}"
20,Brooklyn,11208,Highland Park-Cypress Hills Cemeteries (South),A neighborhood known for its large green spaces and historic cemeteries.,React-Frontend\\public\\img\\Neighbourhoods\\Highland Park-Cypress Hills Cemeteries (South),"{Highland Park,Cypress Hills Cemetery}"
21,Brooklyn,11231,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"A collection of neighborhoods known for their historic charm, waterfront views, and industrial past.",React-Frontend\\public\\img\\Neighbourhoods\\Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"{Carroll Park,Gowanus Canal}"
22,Brooklyn,11215,Park Slope,A family-friendly neighborhood known for its beautiful brownstones and proximity to Prospect Park.,React-Frontend\\public\\img\\Neighbourhoods\\Park Slope,"{Prospect Park,Old Stone House}"
